,TimeStamp,Little,Ring,Middle,Index,Thumb
3857,2022-01-11 15:57:07.413,252.0,12.0,0.0,10.0,81.0
3858,2022-01-11 15:57:07.434,252.0,13.0,0.0,10.0,81.0
3859,2022-01-11 15:57:07.454,252.0,13.0,0.0,10.0,81.0
3860,2022-01-11 15:57:07.479,252.0,13.0,0.0,10.0,81.0
3861,2022-01-11 15:57:07.499,252.0,14.0,0.0,11.0,81.0
3862,2022-01-11 15:57:07.524,250.0,14.0,0.0,11.0,80.0
3863,2022-01-11 15:57:07.544,252.0,15.0,0.0,11.0,81.0
3864,2022-01-11 15:57:07.564,250.0,16.0,0.0,11.0,80.0
3865,2022-01-11 15:57:07.589,250.0,20.0,0.0,12.0,80.0
3866,2022-01-11 15:57:07.609,250.0,27.0,1.0,14.0,81.0
3867,2022-01-11 15:57:07.634,250.0,35.0,9.0,16.0,81.0
3868,2022-01-11 15:57:07.655,250.0,43.0,17.0,18.0,81.0
3869,2022-01-11 15:57:07.675,248.0,49.0,23.0,21.0,81.0
3870,2022-01-11 15:57:07.700,248.0,55.0,26.0,25.0,81.0
3871,2022-01-11 15:57:07.720,248.0,63.0,30.0,29.0,81.0
3872,2022-01-11 15:57:07.745,248.0,71.0,34.0,32.0,82.0
3873,2022-01-11 15:57:07.765,248.0,75.0,37.0,35.0,82.0
3874,2022-01-11 15:57:07.786,248.0,80.0,40.0,39.0,81.0
3875,2022-01-11 15:57:07.810,248.0,84.0,44.0,42.0,82.0
3876,2022-01-11 15:57:07.831,248.0,90.0,46.0,45.0,82.0
3877,2022-01-11 15:57:07.856,248.0,96.0,49.0,48.0,82.0
3878,2022-01-11 15:57:07.876,248.0,101.0,52.0,52.0,82.0
3879,2022-01-11 15:57:07.901,246.0,106.0,56.0,55.0,82.0
3880,2022-01-11 15:57:07.921,246.0,112.0,60.0,59.0,82.0
3881,2022-01-11 15:57:07.941,246.0,115.0,64.0,64.0,82.0
3882,2022-01-11 15:57:07.966,246.0,119.0,68.0,68.0,82.0
3883,2022-01-11 15:57:07.986,246.0,124.0,72.0,72.0,82.0
3884,2022-01-11 15:57:08.011,246.0,129.0,77.0,76.0,82.0
3885,2022-01-11 15:57:08.032,246.0,134.0,84.0,81.0,83.0
3886,2022-01-11 15:57:08.052,246.0,139.0,90.0,86.0,82.0
3887,2022-01-11 15:57:08.077,246.0,144.0,95.0,89.0,83.0
3888,2022-01-11 15:57:08.097,244.0,147.0,100.0,92.0,83.0
3889,2022-01-11 15:57:08.122,246.0,150.0,106.0,96.0,83.0
3890,2022-01-11 15:57:08.142,244.0,155.0,111.0,101.0,83.0
3891,2022-01-11 15:57:08.167,244.0,161.0,117.0,105.0,84.0
3892,2022-01-11 15:57:08.187,242.0,164.0,123.0,108.0,84.0
3893,2022-01-11 15:57:08.208,242.0,166.0,128.0,111.0,86.0
3894,2022-01-11 15:57:08.232,242.0,170.0,134.0,113.0,87.0
3895,2022-01-11 15:57:08.253,242.0,175.0,144.0,119.0,87.0
3896,2022-01-11 15:57:08.277,242.0,177.0,150.0,122.0,88.0
3897,2022-01-11 15:57:08.298,242.0,179.0,153.0,125.0,88.0
3898,2022-01-11 15:57:08.318,242.0,179.0,154.0,126.0,88.0
3899,2022-01-11 15:57:08.343,242.0,181.0,156.0,127.0,89.0
3900,2022-01-11 15:57:08.363,242.0,181.0,156.0,127.0,89.0
3901,2022-01-11 15:57:08.388,242.0,182.0,157.0,127.0,88.0
