,TimeStamp,Little,Ring,Middle,Index,Thumb
3993,2022-01-11 15:30:45.852,15.0,9.0,7.0,-7.0,38.0
3994,2022-01-11 15:30:45.872,15.0,9.0,7.0,-7.0,38.0
3995,2022-01-11 15:30:45.893,15.0,9.0,7.0,-7.0,38.0
3996,2022-01-11 15:30:45.917,15.0,9.0,7.0,-7.0,38.0
3997,2022-01-11 15:30:45.938,15.0,8.0,7.0,-8.0,38.0
3998,2022-01-11 15:30:45.963,15.0,8.0,7.0,-8.0,38.0
3999,2022-01-11 15:30:45.983,15.0,8.0,7.0,-7.0,38.0
4000,2022-01-11 15:30:46.003,15.0,9.0,7.0,-7.0,39.0
4001,2022-01-11 15:30:46.028,17.0,10.0,7.0,-7.0,38.0
4002,2022-01-11 15:30:46.048,26.0,16.0,10.0,-5.0,38.0
4003,2022-01-11 15:30:46.073,37.0,25.0,16.0,0.0,39.0
4004,2022-01-11 15:30:46.094,48.0,35.0,21.0,5.0,40.0
4005,2022-01-11 15:30:46.114,58.0,43.0,28.0,11.0,40.0
4006,2022-01-11 15:30:46.139,72.0,53.0,36.0,18.0,41.0
4007,2022-01-11 15:30:46.159,82.0,62.0,44.0,27.0,42.0
4008,2022-01-11 15:30:46.184,92.0,73.0,55.0,37.0,43.0
4009,2022-01-11 15:30:46.204,104.0,86.0,66.0,46.0,44.0
4010,2022-01-11 15:30:46.229,116.0,97.0,76.0,53.0,45.0
4011,2022-01-11 15:30:46.249,128.0,107.0,86.0,59.0,46.0
4012,2022-01-11 15:30:46.270,137.0,116.0,94.0,65.0,47.0
4013,2022-01-11 15:30:46.295,144.0,123.0,100.0,69.0,47.0
4014,2022-01-11 15:30:46.315,147.0,126.0,102.0,71.0,47.0
4015,2022-01-11 15:30:46.340,152.0,130.0,107.0,73.0,47.0
4016,2022-01-11 15:30:46.360,158.0,134.0,111.0,76.0,47.0
4017,2022-01-11 15:30:46.380,162.0,140.0,115.0,80.0,48.0
4018,2022-01-11 15:30:46.405,169.0,142.0,118.0,83.0,48.0
4019,2022-01-11 15:30:46.425,172.0,144.0,120.0,83.0,49.0
4020,2022-01-11 15:30:46.450,174.0,145.0,121.0,83.0,49.0
4021,2022-01-11 15:30:46.470,178.0,149.0,122.0,84.0,49.0
4022,2022-01-11 15:30:46.495,180.0,150.0,124.0,84.0,49.0
4023,2022-01-11 15:30:46.516,183.0,152.0,126.0,85.0,50.0
4024,2022-01-11 15:30:46.536,182.0,152.0,124.0,84.0,50.0
4025,2022-01-11 15:30:46.561,182.0,150.0,123.0,84.0,50.0
