,TimeStamp,Little,Ring,Middle,Index,Thumb
4509,2022-01-11 15:46:11.791,11.0,0.0,1.0,-4.0,31.0
4510,2022-01-11 15:46:11.815,11.0,0.0,1.0,-3.0,31.0
4511,2022-01-11 15:46:11.836,11.0,0.0,1.0,-4.0,30.0
4512,2022-01-11 15:46:11.860,11.0,0.0,1.0,-4.0,30.0
4513,2022-01-11 15:46:11.881,11.0,0.0,1.0,-4.0,30.0
4514,2022-01-11 15:46:11.901,11.0,0.0,1.0,-3.0,30.0
4515,2022-01-11 15:46:11.926,11.0,0.0,1.0,-4.0,30.0
4516,2022-01-11 15:46:11.946,11.0,0.0,1.0,-4.0,30.0
4517,2022-01-11 15:46:11.967,11.0,0.0,1.0,-4.0,30.0
4518,2022-01-11 15:46:11.991,11.0,0.0,1.0,-4.0,30.0
4519,2022-01-11 15:46:12.012,11.0,0.0,1.0,-4.0,30.0
4520,2022-01-11 15:46:12.037,11.0,0.0,1.0,-4.0,30.0
4521,2022-01-11 15:46:12.057,11.0,0.0,1.0,-4.0,30.0
4522,2022-01-11 15:46:12.077,11.0,0.0,1.0,-4.0,30.0
4523,2022-01-11 15:46:12.102,11.0,0.0,1.0,-3.0,30.0
4524,2022-01-11 15:46:12.122,11.0,0.0,1.0,-4.0,30.0
4525,2022-01-11 15:46:12.147,11.0,0.0,1.0,-3.0,30.0
4526,2022-01-11 15:46:12.168,11.0,0.0,1.0,-3.0,30.0
4527,2022-01-11 15:46:12.188,11.0,0.0,1.0,-3.0,30.0
4528,2022-01-11 15:46:12.213,12.0,0.0,1.0,-3.0,30.0
4529,2022-01-11 15:46:12.233,12.0,0.0,1.0,-3.0,30.0
4530,2022-01-11 15:46:12.253,12.0,1.0,2.0,-3.0,30.0
4531,2022-01-11 15:46:12.278,12.0,1.0,3.0,-2.0,30.0
4532,2022-01-11 15:46:12.299,12.0,2.0,3.0,-2.0,30.0
4533,2022-01-11 15:46:12.323,12.0,2.0,3.0,-2.0,30.0
4534,2022-01-11 15:46:12.344,12.0,2.0,3.0,-2.0,30.0
4535,2022-01-11 15:46:12.364,13.0,3.0,4.0,-2.0,30.0
4536,2022-01-11 15:46:12.389,15.0,7.0,5.0,-1.0,30.0
4537,2022-01-11 15:46:12.409,17.0,12.0,7.0,0.0,30.0
4538,2022-01-11 15:46:12.434,25.0,23.0,13.0,1.0,30.0
4539,2022-01-11 15:46:12.454,43.0,38.0,23.0,4.0,30.0
4540,2022-01-11 15:46:12.475,60.0,54.0,33.0,7.0,31.0
4541,2022-01-11 15:46:12.499,78.0,76.0,47.0,10.0,31.0
4542,2022-01-11 15:46:12.520,103.0,110.0,73.0,14.0,31.0
4543,2022-01-11 15:46:12.544,139.0,152.0,108.0,18.0,31.0
4544,2022-01-11 15:46:12.565,167.0,179.0,137.0,21.0,32.0
4545,2022-01-11 15:46:12.589,187.0,194.0,160.0,24.0,32.0
4546,2022-01-11 15:46:12.610,204.0,210.0,175.0,26.0,32.0
4547,2022-01-11 15:46:12.630,215.0,220.0,187.0,27.0,33.0
4548,2022-01-11 15:46:12.655,222.0,224.0,197.0,28.0,33.0
4549,2022-01-11 15:46:12.675,228.0,226.0,203.0,29.0,33.0
