,,,YAW,PITCH,ROLL
,50:59.4,ypr,102.86,126.22,148.32
1,50:59.4,ypr,102.94,126.26,148.3
3,50:59.4,ypr,103.02,126.29,148.28
5,50:59.4,ypr,103.1,126.31,148.24
7,50:59.4,ypr,103.18,126.32,148.2
9,50:59.4,ypr,103.25,126.33,148.16
11,50:59.5,ypr,103.33,126.32,148.12
13,50:59.5,ypr,103.41,126.31,148.04
15,50:59.5,ypr,103.5,126.31,147.98
17,50:59.5,ypr,103.58,126.29,147.89
19,50:59.5,ypr,103.67,126.27,147.81
21,50:59.5,ypr,103.75,126.24,147.73
23,50:59.5,ypr,103.84,126.21,147.61
25,50:59.5,ypr,103.93,126.19,147.5
27,50:59.5,ypr,104.03,126.19,147.4
29,50:59.5,ypr,104.13,126.17,147.29
31,50:59.5,ypr,104.23,126.16,147.18
33,50:59.6,ypr,104.32,126.17,147.1
35,50:59.6,ypr,104.42,126.17,147.01
37,50:59.6,ypr,104.52,126.18,146.93
39,50:59.6,ypr,104.61,126.2,146.85
41,50:59.6,ypr,104.71,126.22,146.78
43,50:59.6,ypr,104.8,126.25,146.72
45,50:59.6,ypr,104.88,126.27,146.68
47,50:59.6,ypr,104.97,126.29,146.62
49,50:59.6,ypr,105.05,126.31,146.57
51,50:59.7,ypr,105.14,126.33,146.51
53,50:59.7,ypr,105.22,126.34,146.46
55,50:59.7,ypr,105.31,126.37,146.4
57,50:59.7,ypr,105.39,126.38,146.35
59,50:59.7,ypr,105.47,126.4,146.29
61,50:59.7,ypr,105.56,126.41,146.23
63,50:59.7,ypr,105.65,126.42,146.16
65,50:59.7,ypr,105.74,126.42,146.09
67,50:59.7,ypr,105.83,126.42,146
69,50:59.7,ypr,105.94,126.43,145.91
71,50:59.7,ypr,106.03,126.45,145.85
73,50:59.8,ypr,106.12,126.47,145.78
75,50:59.8,ypr,106.22,126.49,145.73
77,50:59.8,ypr,106.3,126.52,145.69
79,50:59.8,ypr,106.4,126.55,145.64
81,50:59.8,ypr,106.48,126.58,145.6
83,50:59.8,ypr,106.56,126.62,145.57
85,50:59.8,ypr,106.64,126.66,145.54
87,50:59.8,ypr,106.73,126.69,145.5
89,50:59.8,ypr,106.81,126.72,145.45
91,50:59.9,ypr,106.91,126.75,145.39
93,50:59.9,ypr,107,126.77,145.33
95,50:59.9,ypr,107.1,126.78,145.25
97,50:59.9,ypr,107.19,126.81,145.18
99,50:59.9,ypr,107.29,126.84,145.1
101,50:59.9,ypr,107.38,126.86,145.03
103,50:59.9,ypr,107.47,126.88,144.96
